"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QWATERr","E_Euro","4.9674463","K m^3 / YR","PCT CHANGE"
"p_QWATERr","N_Afr","0.32957155","K m^3 / YR","PCT CHANGE"
"p_QWATERr","SSA","1.8237123","K m^3 / YR","PCT CHANGE"
"p_QWATERr","S_Amer","1.9308699","K m^3 / YR","PCT CHANGE"
"p_QWATERr","AUS_NZ","1.6021047","K m^3 / YR","PCT CHANGE"
"p_QWATERr","EU","1.5311451","K m^3 / YR","PCT CHANGE"
"p_QWATERr","S_Asia","1.5074527","K m^3 / YR","PCT CHANGE"
"p_QWATERr","CC_Amer","2.1096053","K m^3 / YR","PCT CHANGE"
"p_QWATERr","S_Afr","0.80689687","K m^3 / YR","PCT CHANGE"
"p_QWATERr","SE_Asia","4.0800958","K m^3 / YR","PCT CHANGE"
"p_QWATERr","CAN","3.3163974","K m^3 / YR","PCT CHANGE"
"p_QWATERr","US","0.25522816","K m^3 / YR","PCT CHANGE"
"p_QWATERr","CHN_MNG","0.73194379","K m^3 / YR","PCT CHANGE"
"p_QWATERr","M_East","0.71479559","K m^3 / YR","PCT CHANGE"
"p_QWATERr","JPN_KR","0.55011916","K m^3 / YR","PCT CHANGE"
"p_QWATERr","C_Asia","1.0669258","K m^3 / YR","PCT CHANGE"
