"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCRPTRADEr","E_Euro","-3.7466598","K MT","PCT CHANGE"
"p_QCRPTRADEr","N_Afr","-8.8101606","K MT","PCT CHANGE"
"p_QCRPTRADEr","SSA","-13.497339","K MT","PCT CHANGE"
"p_QCRPTRADEr","S_Amer","-9.6811228","K MT","PCT CHANGE"
"p_QCRPTRADEr","AUS_NZ","-5.9531183","K MT","PCT CHANGE"
"p_QCRPTRADEr","EU","-4.594213","K MT","PCT CHANGE"
"p_QCRPTRADEr","S_Asia","13.030452","K MT","PCT CHANGE"
"p_QCRPTRADEr","CC_Amer","-87.390465","K MT","PCT CHANGE"
"p_QCRPTRADEr","S_Afr","3.533551","K MT","PCT CHANGE"
"p_QCRPTRADEr","SE_Asia","-3.9088216","K MT","PCT CHANGE"
"p_QCRPTRADEr","CAN","-16.517115","K MT","PCT CHANGE"
"p_QCRPTRADEr","US","0.59573311","K MT","PCT CHANGE"
"p_QCRPTRADEr","CHN_MNG","-31.595835","K MT","PCT CHANGE"
"p_QCRPTRADEr","M_East","-20.956781","K MT","PCT CHANGE"
"p_QCRPTRADEr","JPN_KR","-3.1846349","K MT","PCT CHANGE"
"p_QCRPTRADEr","C_Asia","-12.034836","K MT","PCT CHANGE"
