x,y,GID
-124.4583333,42.79166693,1
-124.4583333,42.87500026,2
-124.375,42.45833361,3
-124.375,42.95833359,4
-124.375,43.04166692,5
-124.375,43.12500025,6
-124.375,43.20833358,7
-124.375,47.95833339,8
-124.2916667,40.54166702,9
-124.2916667,43.12500025,10
-124.2916667,43.20833358,11
-124.2083334,40.54166702,12
-124.2083334,40.62500035,13
-124.2083334,42.04166696,14
-124.2083334,42.12500029,15
-124.2083334,43.12500025,16
-124.2083334,43.29166691,17
-124.2083334,43.45833357,18
-124.1250001,40.54166702,19
-124.1250001,40.87500034,20
-124.1250001,42.12500029,21
-124.1250001,42.20833362,22
-124.1250001,42.95833359,23
-124.1250001,43.04166692,24
-124.1250001,43.12500025,25
-124.1250001,43.20833358,26
-124.1250001,43.29166691,27
-124.1250001,43.37500024,28
-124.1250001,43.45833357,29
-124.0416668,40.54166702,30
-124.0416668,43.12500025,31
-124.0416668,43.20833358,32
-124.0416668,43.37500024,33
-123.9583335,40.37500036,34
-123.9583335,40.45833369,35
-123.9583335,43.79166689,36
-123.9583335,44.70833352,37
-123.9583335,44.79166685,38
-123.9583335,44.87500018,39
-123.9583335,47.20833342,40
-123.8750002,40.37500036,41
-123.8750002,43.12500025,42
-123.8750002,43.5416669,43
-123.8750002,44.12500021,44
-123.8750002,44.70833352,45
-123.8750002,44.79166685,46
-123.8750002,45.12500017,47
-123.8750002,45.2083335,48
-123.8750002,45.29166683,49
-123.8750002,45.45833349,50
-123.8750002,45.70833348,51
-123.8750002,45.79166681,52
-123.8750002,46.12500013,53
-123.7916669,42.37500028,54
-123.7916669,43.5416669,55
-123.7916669,44.70833352,56
-123.7916669,44.79166685,57
-123.7916669,45.37500016,58
-123.7916669,45.45833349,59
-123.7916669,45.54166682,60
-123.7916669,45.70833348,61
-123.7916669,45.79166681,62
-123.7916669,47.12500009,63
-123.7083336,42.20833362,64
-123.7083336,42.29166695,65
-123.7083336,43.62500023,66
-123.7083336,43.70833356,67
-123.7083336,44.3750002,68
-123.7083336,44.62500019,69
-123.7083336,44.87500018,70
-123.7083336,45.12500017,71
-123.7083336,45.45833349,72
-123.7083336,46.12500013,73
-123.7083336,46.70833344,74
-123.7083336,46.8750001,75
-123.7083336,47.04166676,76
-123.7083336,47.12500009,77
-123.6250003,40.95833367,78
-123.6250003,42.12500029,79
-123.6250003,42.20833362,80
-123.6250003,42.29166695,81
-123.6250003,43.37500024,82
-123.6250003,43.62500023,83
-123.6250003,44.3750002,84
-123.6250003,44.62500019,85
-123.6250003,44.79166685,86
-123.6250003,45.04166684,87
-123.6250003,45.12500017,88
-123.6250003,45.87500014,89
-123.6250003,46.12500013,90
-123.6250003,46.37500012,91
-123.6250003,46.95833343,92
-123.6250003,47.04166676,93
-123.6250003,47.12500009,94
-123.541667,39.12500041,95
-123.541667,42.12500029,96
-123.541667,42.45833361,97
-123.541667,43.12500025,98
-123.541667,43.20833358,99
-123.541667,43.5416669,100
-123.541667,43.62500023,101
-123.541667,44.20833354,102
-123.541667,44.3750002,103
-123.541667,44.54166686,104
-123.541667,44.62500019,105
-123.541667,44.70833352,106
-123.541667,45.04166684,107
-123.541667,45.12500017,108
-123.541667,45.87500014,109
-123.541667,45.95833347,110
-123.541667,46.12500013,111
-123.541667,46.37500012,112
-123.541667,46.95833343,113
-123.541667,47.04166676,114
-123.541667,47.12500009,115
-123.4583337,39.04166708,116
-123.4583337,39.12500041,117
-123.4583337,39.62500039,118
-123.4583337,39.70833372,119
-123.4583337,42.37500028,120
-123.4583337,42.45833361,121
-123.4583337,42.7083336,122
-123.4583337,42.87500026,123
-123.4583337,42.95833359,124
-123.4583337,43.12500025,125
-123.4583337,43.20833358,126
-123.4583337,43.29166691,127
-123.4583337,43.37500024,128
-123.4583337,44.04166688,129
-123.4583337,44.12500021,130
-123.4583337,44.20833354,131
-123.4583337,44.45833353,132
-123.4583337,44.54166686,133
-123.4583337,44.62500019,134
-123.4583337,44.70833352,135
-123.4583337,44.79166685,136
-123.4583337,44.87500018,137
-123.4583337,44.95833351,138
-123.4583337,45.04166684,139
-123.4583337,45.12500017,140
-123.4583337,45.95833347,141
-123.4583337,46.12500013,142
-123.4583337,46.29166679,143
-123.4583337,46.95833343,144
-123.4583337,47.04166676,145
-123.4583337,47.12500009,146
-123.4583337,47.20833342,147
-123.3750004,38.95833375,148
-123.3750004,39.04166708,149
-123.3750004,41.79166697,150
-123.3750004,41.8750003,151
-123.3750004,42.37500028,152
-123.3750004,42.45833361,153
-123.3750004,42.54166694,154
-123.3750004,42.87500026,155
-123.3750004,42.95833359,156
-123.3750004,43.04166692,157
-123.3750004,43.12500025,158
-123.3750004,43.20833358,159
-123.3750004,43.29166691,160
-123.3750004,43.37500024,161
-123.3750004,43.62500023,162
-123.3750004,43.95833355,163
-123.3750004,44.04166688,164
-123.3750004,44.12500021,165
-123.3750004,44.20833354,166
-123.3750004,44.29166687,167
-123.3750004,44.3750002,168
-123.3750004,44.45833353,169
-123.3750004,44.54166686,170
-123.3750004,44.62500019,171
-123.3750004,44.70833352,172
-123.3750004,44.79166685,173
-123.3750004,44.87500018,174
-123.3750004,44.95833351,175
-123.3750004,45.04166684,176
-123.3750004,45.12500017,177
-123.3750004,45.2083335,178
-123.3750004,46.12500013,179
-123.3750004,46.29166679,180
-123.3750004,46.54166678,181
-123.3750004,46.95833343,182
-123.3750004,47.12500009,183
-123.2916671,42.20833362,184
-123.2916671,42.29166695,185
-123.2916671,42.45833361,186
-123.2916671,42.79166693,187
-123.2916671,42.95833359,188
-123.2916671,43.04166692,189
-123.2916671,43.12500025,190
-123.2916671,43.20833358,191
-123.2916671,43.29166691,192
-123.2916671,43.37500024,193
-123.2916671,43.45833357,194
-123.2916671,43.5416669,195
-123.2916671,43.62500023,196
-123.2916671,43.87500022,197
-123.2916671,43.95833355,198
-123.2916671,44.04166688,199
-123.2916671,44.12500021,200
-123.2916671,44.20833354,201
-123.2916671,44.29166687,202
-123.2916671,44.3750002,203
-123.2916671,44.45833353,204
-123.2916671,44.54166686,205
-123.2916671,44.62500019,206
-123.2916671,44.70833352,207
-123.2916671,44.79166685,208
-123.2916671,44.87500018,209
-123.2916671,44.95833351,210
-123.2916671,45.04166684,211
-123.2916671,45.12500017,212
-123.2916671,45.2083335,213
-123.2916671,45.29166683,214
-123.2916671,45.37500016,215
-123.2916671,45.45833349,216
-123.2916671,45.62500015,217
-123.2916671,45.79166681,218
-123.2916671,45.87500014,219
-123.2916671,46.0416668,220
-123.2916671,46.12500013,221
-123.2916671,46.54166678,222
-123.2916671,46.62500011,223
-123.2916671,46.70833344,224
-123.2916671,46.79166677,225
-123.2916671,46.8750001,226
-123.2916671,46.95833343,227
-123.2083338,39.04166708,228
-123.2083338,39.12500041,229
-123.2083338,39.20833374,230
-123.2083338,39.29166707,231
-123.2083338,39.79166705,232
-123.2083338,40.54166702,233
-123.2083338,42.20833362,234
-123.2083338,42.29166695,235
-123.2083338,42.45833361,236
-123.2083338,42.54166694,237
-123.2083338,42.79166693,238
-123.2083338,42.87500026,239
-123.2083338,42.95833359,240
-123.2083338,43.04166692,241
-123.2083338,43.12500025,242
-123.2083338,43.20833358,243
-123.2083338,43.29166691,244
-123.2083338,43.37500024,245
-123.2083338,43.45833357,246
-123.2083338,43.5416669,247
-123.2083338,43.62500023,248
-123.2083338,43.79166689,249
-123.2083338,43.87500022,250
-123.2083338,43.95833355,251
-123.2083338,44.04166688,252
-123.2083338,44.12500021,253
-123.2083338,44.20833354,254
-123.2083338,44.29166687,255
-123.2083338,44.3750002,256
-123.2083338,44.45833353,257
-123.2083338,44.54166686,258
-123.2083338,44.62500019,259
-123.2083338,44.70833352,260
-123.2083338,44.79166685,261
-123.2083338,44.87500018,262
-123.2083338,44.95833351,263
-123.2083338,45.04166684,264
-123.2083338,45.12500017,265
-123.2083338,45.2083335,266
-123.2083338,45.29166683,267
-123.2083338,45.37500016,268
-123.2083338,45.45833349,269
-123.2083338,45.54166682,270
-123.2083338,45.62500015,271
-123.2083338,45.70833348,272
-123.2083338,45.87500014,273
-123.2083338,46.12500013,274
-123.2083338,46.20833346,275
-123.2083338,46.62500011,276
-123.2083338,46.70833344,277
-123.2083338,46.79166677,278
-123.2083338,46.8750001,279
-123.2083338,47.20833342,280
-123.2083338,47.29166675,281
-123.1250005,38.95833375,282
-123.1250005,39.04166708,283
-123.1250005,39.12500041,284
-123.1250005,39.29166707,285
-123.1250005,39.3750004,286
-123.1250005,42.12500029,287
-123.1250005,42.20833362,288
-123.1250005,42.29166695,289
-123.1250005,42.37500028,290
-123.1250005,42.45833361,291
-123.1250005,42.54166694,292
-123.1250005,42.79166693,293
-123.1250005,42.95833359,294
-123.1250005,43.04166692,295
-123.1250005,43.12500025,296
-123.1250005,43.20833358,297
-123.1250005,43.29166691,298
-123.1250005,43.37500024,299
-123.1250005,43.45833357,300
-123.1250005,43.5416669,301
-123.1250005,43.62500023,302
-123.1250005,43.70833356,303
-123.1250005,43.87500022,304
-123.1250005,43.95833355,305
-123.1250005,44.04166688,306
-123.1250005,44.12500021,307
-123.1250005,44.20833354,308
-123.1250005,44.29166687,309
-123.1250005,44.3750002,310
-123.1250005,44.45833353,311
-123.1250005,44.54166686,312
-123.1250005,44.62500019,313
-123.1250005,44.70833352,314
-123.1250005,44.79166685,315
-123.1250005,44.87500018,316
-123.1250005,44.95833351,317
-123.1250005,45.04166684,318
-123.1250005,45.12500017,319
-123.1250005,45.2083335,320
-123.1250005,45.29166683,321
-123.1250005,45.37500016,322
-123.1250005,45.45833349,323
-123.1250005,45.54166682,324
-123.1250005,45.62500015,325
-123.1250005,45.70833348,326
-123.1250005,45.87500014,327
-123.1250005,45.95833347,328
-123.1250005,46.0416668,329
-123.1250005,46.12500013,330
-123.1250005,46.20833346,331
-123.1250005,46.45833345,332
-123.1250005,46.54166678,333
-123.1250005,46.62500011,334
-123.1250005,46.70833344,335
-123.1250005,46.79166677,336
-123.1250005,46.8750001,337
-123.1250005,47.12500009,338
-123.1250005,47.20833342,339
-123.1250005,47.29166675,340
-123.0416672,38.70833376,341
-123.0416672,38.79166709,342
-123.0416672,38.95833375,343
-123.0416672,39.04166708,344
-123.0416672,39.29166707,345
-123.0416672,42.12500029,346
-123.0416672,42.20833362,347
-123.0416672,42.37500028,348
-123.0416672,42.45833361,349
-123.0416672,42.54166694,350
-123.0416672,42.95833359,351
-123.0416672,43.29166691,352
-123.0416672,43.45833357,353
-123.0416672,43.62500023,354
-123.0416672,43.70833356,355
-123.0416672,43.79166689,356
-123.0416672,43.87500022,357
-123.0416672,43.95833355,358
-123.0416672,44.04166688,359
-123.0416672,44.12500021,360
-123.0416672,44.20833354,361
-123.0416672,44.29166687,362
-123.0416672,44.3750002,363
-123.0416672,44.45833353,364
-123.0416672,44.54166686,365
-123.0416672,44.62500019,366
-123.0416672,44.70833352,367
-123.0416672,44.79166685,368
-123.0416672,44.87500018,369
-123.0416672,44.95833351,370
-123.0416672,45.04166684,371
-123.0416672,45.12500017,372
-123.0416672,45.2083335,373
-123.0416672,45.29166683,374
-123.0416672,45.37500016,375
-123.0416672,45.45833349,376
-123.0416672,45.54166682,377
-123.0416672,45.62500015,378
-123.0416672,45.70833348,379
-123.0416672,45.95833347,380
-123.0416672,46.12500013,381
-123.0416672,46.20833346,382
-123.0416672,46.37500012,383
-123.0416672,46.45833345,384
-123.0416672,46.54166678,385
-123.0416672,46.62500011,386
-123.0416672,46.70833344,387
-123.0416672,46.79166677,388
-123.0416672,46.8750001,389
-122.9583339,38.5416671,390
-122.9583339,38.62500043,391
-122.9583339,38.70833376,392
-122.9583339,38.79166709,393
-122.9583339,39.04166708,394
-122.9583339,39.12500041,395
-122.9583339,39.20833374,396
-122.9583339,41.54166698,397
-122.9583339,41.62500031,398
-122.9583339,42.29166695,399
-122.9583339,42.37500028,400
-122.9583339,42.45833361,401
-122.9583339,42.54166694,402
-122.9583339,42.62500027,403
-122.9583339,43.20833358,404
-122.9583339,43.70833356,405
-122.9583339,43.79166689,406
-122.9583339,43.87500022,407
-122.9583339,43.95833355,408
-122.9583339,44.04166688,409
-122.9583339,44.12500021,410
-122.9583339,44.29166687,411
-122.9583339,44.3750002,412
-122.9583339,44.45833353,413
-122.9583339,44.54166686,414
-122.9583339,44.62500019,415
-122.9583339,44.70833352,416
-122.9583339,44.79166685,417
-122.9583339,44.87500018,418
-122.9583339,44.95833351,419
-122.9583339,45.04166684,420
-122.9583339,45.12500017,421
-122.9583339,45.2083335,422
-122.9583339,45.29166683,423
-122.9583339,45.37500016,424
-122.9583339,45.45833349,425
-122.9583339,45.54166682,426
-122.9583339,45.62500015,427
-122.9583339,45.70833348,428
-122.9583339,45.95833347,429
-122.9583339,46.0416668,430
-122.9583339,46.12500013,431
-122.9583339,46.20833346,432
-122.9583339,46.29166679,433
-122.9583339,46.37500012,434
-122.9583339,46.45833345,435
-122.9583339,46.54166678,436
-122.9583339,46.62500011,437
-122.9583339,46.70833344,438
-122.9583339,46.79166677,439
-122.9583339,46.8750001,440
-122.9583339,46.95833343,441
-122.9583339,47.04166676,442
-122.9583339,47.29166675,443
-122.8750006,38.37500044,444
-122.8750006,38.45833377,445
-122.8750006,38.5416671,446
-122.8750006,38.62500043,447
-122.8750006,38.70833376,448
-122.8750006,38.95833375,449
-122.8750006,39.12500041,450
-122.8750006,39.20833374,451
-122.8750006,41.37500032,452
-122.8750006,41.45833365,453
-122.8750006,41.54166698,454
-122.8750006,41.62500031,455
-122.8750006,41.79166697,456
-122.8750006,41.8750003,457
-122.8750006,42.20833362,458
-122.8750006,42.29166695,459
-122.8750006,42.37500028,460
-122.8750006,42.45833361,461
-122.8750006,42.54166694,462
-122.8750006,42.62500027,463
-122.8750006,42.87500026,464
-122.8750006,43.70833356,465
-122.8750006,43.79166689,466
-122.8750006,43.87500022,467
-122.8750006,43.95833355,468
-122.8750006,44.04166688,469
-122.8750006,44.12500021,470
