REG,STATE,LTYPE,GID,MLRA,FRR,WBD
E_Euro,AL,Irrigated,I00001,NFFSC,HEARTLND,NEW_ENG
N_Afr,AZ,Rainfed,I00002,CSFTSC,N_CRESC,MID_ATL
SSA,AR,,I00003,NWRR,N_GRTPLN,S_ATL_GLF
S_Amer,CA,,I00004,WRI,PRAIRIE_G,GRT_LAKES
AUS_NZ,CO,,I00005,RMRF,E_UPLAND,OH_REG
EU,CT,,I00006,WGPRI,S_SEABRD,TN_REG
S_Asia,DE,,I00007,NGPSW,FRUIT_RIM,UP_MS_REG
CC_Amer,FL,,I00008,CGPWWR,BASIN_RNG,LO_MS_REG
S_Afr,GA,,I00009,SPPRC,MS_PORT,SOURIS
SE_Asia,ID,,I00010,SPCF,,MO_REG
CAN,IL,,I00011,CFGL,,WHITE_RED
US,IN,,I00012,AGCLFC,,TXS_GULF
CHN_MNG,IA,,I00013,ECFF,,RIO_GRND
M_East,KS,,I00014,SAGSCCFL,,UP_CO_REG
JPN_KR,KY,,I00015,NLSFF,,LO_CO_REG
C_Asia,LA,,I00016,MDCFG,,GRT_BASIN
,ME,,I00017,LSFTCD,,PAC_NW
,MD,,I00018,NFF,,CA_REG
,,,I04484,,,
,,,I04485,,,
,,,I04486,,,
,,,I04487,,,
,,,I04488,,,
,,,I04489,,,
,,,I04490,,,
,,,I04491,,,
,,,I04492,,,
,,,I04493,,,
,,,I04494,,,
,,,I04495,,,
,,,I04496,,,
,,,I04497,,,
,,,I04498,,,
,,,I04499,,,
,,,I04500,,,
,,,I04501,,,
,,,I04502,,,
,,,I04503,,,
,,,I04504,,,
,,,I04505,,,
,,,I04506,,,
,,,I04507,,,
,,,I04508,,,
,,,I04509,,,
,,,I04510,,,
,,,I04511,,,
,,,I04512,,,
,,,I04513,,,
,,,I04514,,,
,,,I04515,,,
,,,I04516,,,
,,,I04517,,,
,,,I04518,,,
,,,I04519,,,
,,,I04520,,,
,,,I04521,,,
,,,I04522,,,
,,,I04523,,,
,,,I04524,,,
,,,I04525,,,
,,,I04526,,,
,,,I04527,,,
,,,I04528,,,
,,,I04529,,,
,,,I04530,,,
,,,I04531,,,
,,,I04532,,,
,,,I04533,,,
,,,I04534,,,
,,,I04535,,,
,,,I04536,,,
,,,I04537,,,
,,,I04538,,,
,,,I04539,,,
,,,I04540,,,
,,,I04541,,,
,,,I04542,,,
,,,I04543,,,
,,,I04544,,,
,,,I04545,,,
,,,I04546,,,
,,,I04547,,,
,,,I04548,,,
,,,I04549,,,
,,,I04550,,,
,,,I04551,,,
,,,I04552,,,
,,,I04553,,,
,,,I04554,,,
,,,I04555,,,
,,,I04556,,,
,,,I04557,,,
,,,I04558,,,
,,,I04559,,,
,,,I04560,,,
,,,I04561,,,
,,,I04562,,,
,,,I04563,,,
,,,I04564,,,
,,,I04565,,,
,,,I04566,,,
,,,I04567,,,
,,,I04568,,,
,,,I04569,,,
,,,I04570,,,
,,,I04571,,,
,,,I04572,,,
,,,I04573,,,
,,,I04574,,,
,,,I04575,,,
,,,I04576,,,
,,,I04577,,,
,,,I04578,,,
,,,I04579,,,
,,,I04580,,,
,,,I04581,,,
,,,I04582,,,
,,,I04583,,,
,,,I04584,,,
,,,I04585,,,
,,,I04586,,,
,,,I04587,,,
,,,I04588,,,
,,,I04589,,,
,,,I04590,,,
,,,I04591,,,
,,,I04592,,,
,,,I04593,,,
,,,I04594,,,
,,,I04595,,,
,,,I04596,,,
,,,I04597,,,
,,,I04598,,,
,,,I04599,,,
,,,I04600,,,
,,,I04601,,,
,,,I04602,,,
,,,I04603,,,
,,,I04604,,,
,,,I04605,,,
,,,I04606,,,
,,,I04607,,,
,,,I04608,,,
,,,I04609,,,
,,,I04610,,,
,,,I04611,,,
,,,I04612,,,
,,,I04613,,,
,,,I04614,,,
,,,I04615,,,
,,,I04616,,,
,,,I04617,,,
,,,I04618,,,
,,,I04619,,,
,,,I04620,,,
,,,I04621,,,
,,,I04622,,,
,,,I04623,,,
,,,I04624,,,
,,,I04625,,,
,,,I04626,,,
,,,I04627,,,
,,,I04628,,,
,,,I04629,,,
,,,I04630,,,
,,,I04631,,,
,,,I04632,,,
,,,I04633,,,
,,,I04634,,,
,,,I04635,,,
,,,I04636,,,
,,,I04637,,,
,,,I04638,,,
,,,I04639,,,
,,,I04640,,,
,,,I04641,,,
,,,I04642,,,
,,,I04643,,,
,,,I04644,,,
,,,I04645,,,
,,,I04646,,,
,,,I04647,,,
,,,I04648,,,
,,,I04649,,,
,,,I04650,,,
,,,I04651,,,
,,,I04652,,,
,,,I04653,,,
,,,I04654,,,
,,,I04655,,,
,,,I04656,,,
,,,I04657,,,
,,,I04658,,,
,,,I04659,,,
,,,I04660,,,
,,,I04661,,,
,,,I04662,,,
,,,I04663,,,
,,,I04664,,,
,,,I04665,,,
,,,I04666,,,
,,,I04667,,,
,,,I04668,,,
,,,I04669,,,
,,,I04670,,,
,,,I04671,,,
,,,I04672,,,
,,,I04673,,,
,,,I04674,,,
,,,I04675,,,
,,,I04676,,,
,,,I04677,,,
,,,I04678,,,
,,,I04679,,,
,,,I04680,,,
,,,I04681,,,
,,,I04682,,,
,,,I04683,,,
,,,I04684,,,
,,,I04685,,,
,,,I04686,,,
,,,I04687,,,
,,,I04688,,,
,,,I04689,,,
,,,I04690,,,
,,,I04691,,,
,,,I04692,,,
,,,I04693,,,
,,,I04694,,,
,,,I04695,,,
,,,I04696,,,
,,,I04697,,,
,,,I04698,,,
,,,I04699,,,
,,,I04700,,,
,,,I04701,,,
,,,I04702,,,
,,,I04703,,,
,,,I04704,,,
,,,I04705,,,
,,,I04706,,,
,,,I04707,,,
,,,I04708,,,
,,,I04709,,,
,,,I04710,,,
,,,I04711,,,
,,,I04712,,,
,,,I04713,,,
,,,I04714,,,
,,,I04715,,,
,,,I04716,,,
,,,I04717,,,
,,,I04718,,,
,,,I04719,,,
,,,I04720,,,
,,,I04721,,,
,,,I04722,,,
,,,I04723,,,
,,,I04724,,,
,,,I04725,,,
,,,I04726,,,
,,,I04727,,,
,,,I04728,,,
,,,I04729,,,
,,,I04730,,,
,,,I04731,,,
,,,I04732,,,
,,,I04733,,,
,,,I04734,,,
,,,I04735,,,
,,,I04736,,,
,,,I04737,,,
,,,I04738,,,
,,,I04739,,,
,,,I04740,,,
,,,I04741,,,
,,,I04742,,,
,,,I04743,,,
,,,I04744,,,
,,,I04745,,,
,,,I04746,,,
,,,I04747,,,
,,,I04748,,,
,,,I04749,,,
,,,I04750,,,
,,,I04751,,,
,,,I04752,,,
,,,I04753,,,
,,,I04754,,,
,,,I04755,,,
,,,I04756,,,
,,,I04757,,,
,,,I04758,,,
,,,I04759,,,
,,,I04760,,,
,,,I04761,,,
,,,I04762,,,
,,,I04763,,,
,,,I04764,,,
,,,I04765,,,
,,,I04766,,,
,,,I04767,,,
,,,I04768,,,
,,,I04769,,,
,,,I04770,,,
,,,I04771,,,
,,,I04772,,,
,,,I04773,,,
,,,I04774,,,
,,,I04775,,,
,,,I04776,,,
,,,I04777,,,
,,,I04778,,,
,,,I04779,,,
,,,I04780,,,
,,,I04781,,,
,,,I04782,,,
,,,I04783,,,
,,,I04784,,,
,,,I04785,,,
,,,I04786,,,
,,,I04787,,,
,,,I04788,,,
,,,I04789,,,
,,,I04790,,,
,,,I04791,,,
,,,I04792,,,
,,,I04793,,,
,,,I04794,,,
,,,I04795,,,
,,,I04796,,,
,,,I04797,,,
,,,I04798,,,
,,,I04799,,,
,,,I04800,,,
,,,I04801,,,
,,,I04802,,,
,,,I04803,,,
,,,I04804,,,
,,,I04805,,,
,,,I04806,,,
,,,I04807,,,
,,,I04808,,,
,,,I04809,,,
,,,I04810,,,
,,,I04811,,,
,,,I04812,,,
,,,I04813,,,
,,,I04814,,,
,,,I04815,,,
,,,I04816,,,
,,,I04817,,,
,,,I04818,,,
,,,I04819,,,
,,,I04820,,,
,,,I04821,,,
,,,I04822,,,
,,,I04823,,,
,,,I04824,,,
,,,I04825,,,
,,,I04826,,,
,,,I04827,,,
,,,I04828,,,
,,,I04829,,,
,,,I04830,,,
,,,I04831,,,
,,,I04832,,,
,,,I04833,,,
,,,I04834,,,
,,,I04835,,,
,,,I04836,,,
,,,I04837,,,
,,,I04838,,,
,,,I04839,,,
,,,I04840,,,
,,,I04841,,,
,,,I04842,,,
,,,I04843,,,
,,,I04844,,,
,,,I04845,,,
,,,I04846,,,
,,,I04847,,,
,,,I04848,,,
,,,I04849,,,
,,,I04850,,,
,,,I04851,,,
,,,I04852,,,
,,,I04853,,,
,,,I04854,,,
,,,I04855,,,
,,,I04856,,,
,,,I04857,,,
,,,I04858,,,
,,,I04859,,,
,,,I04860,,,
,,,I04861,,,
,,,I04862,,,
,,,I04863,,,
,,,I04864,,,
,,,I04865,,,
,,,I04866,,,
,,,I04867,,,
,,,I04868,,,
,,,I04869,,,
,,,I04870,,,
,,,I04871,,,
,,,I04872,,,
,,,I04873,,,
,,,I04874,,,
,,,I04875,,,
,,,I04876,,,
,,,I04877,,,
,,,I04878,,,
,,,I04879,,,
,,,I04880,,,
,,,I04881,,,
,,,I04882,,,
,,,I04883,,,
,,,I04884,,,
,,,I04885,,,
,,,I04886,,,
,,,I04887,,,
,,,I04888,,,
,,,I04889,,,
,,,I04890,,,
,,,I04891,,,
,,,I04892,,,
,,,I04893,,,
,,,I04894,,,
,,,I04895,,,
,,,I04896,,,
,,,I04897,,,
,,,I04898,,,
,,,I04899,,,
,,,I04900,,,
,,,I04901,,,
,,,I04902,,,
,,,I04903,,,
,,,I04904,,,
,,,I04905,,,
,,,I04906,,,
,,,I04907,,,
,,,I04908,,,
,,,I04909,,,
,,,I04910,,,
,,,I04911,,,
,,,I04912,,,
,,,I04913,,,
,,,I04914,,,
,,,I04915,,,
,,,I04916,,,
,,,I04917,,,
,,,I04918,,,
,,,I04919,,,
,,,I04920,,,
,,,I04921,,,
,,,I04922,,,
,,,I04923,,,
,,,I04924,,,
,,,I04925,,,
,,,I04926,,,
,,,I04927,,,
,,,I04928,,,
,,,I04929,,,
,,,I04930,,,
,,,I04931,,,
,,,I04932,,,
,,,I04933,,,
,,,I04934,,,
,,,I04935,,,
,,,I04936,,,
,,,I04937,,,
,,,I04938,,,
,,,I04939,,,
,,,I04940,,,
,,,I04941,,,
,,,I04942,,,
,,,I04943,,,
,,,I04944,,,
,,,I04945,,,
,,,I04946,,,
,,,I04947,,,
,,,I04948,,,
,,,I04949,,,
,,,I04950,,,
,,,I04951,,,
,,,I04952,,,
,,,I04953,,,
,,,I04954,,,
,,,I04955,,,
,,,I04956,,,
,,,I04957,,,
,,,I04958,,,
,,,I04959,,,
,,,I04960,,,
,,,I04961,,,
,,,I04962,,,
,,,I04963,,,
,,,I04964,,,
,,,I04965,,,
,,,I04966,,,
,,,I04967,,,
,,,I04968,,,
,,,I04969,,,
,,,I04970,,,
,,,I04971,,,
,,,I04972,,,
,,,I04973,,,
,,,I04974,,,
,,,I04975,,,
,,,I04976,,,
,,,I04977,,,
,,,I04978,,,
,,,I04979,,,
,,,I04980,,,
,,,I04981,,,
,,,I04982,,,
,,,I04983,,,
,,,I04984,,,
,,,I04985,,,
,,,I04986,,,
,,,I04987,,,
,,,I04988,,,
,,,I04989,,,
,,,I04990,,,
,,,I04991,,,
,,,I04992,,,
,,,I04993,,,
,,,I04994,,,
,,,I04995,,,
,,,I04996,,,
,,,I04997,,,
,,,I04998,,,
,,,I04999,,,
,,,I05000,,,
,,,I05001,,,
,,,I05002,,,
,,,I05003,,,
,,,I05004,,,
,,,I05005,,,
,,,I05006,,,
,,,I05007,,,
,,,I05008,,,
,,,I05009,,,
,,,I05010,,,
,,,I05011,,,
,,,I05012,,,
,,,I05013,,,
,,,I05014,,,
,,,I05015,,,
,,,I05016,,,
,,,I05017,,,
,,,I05018,,,
,,,I05019,,,
,,,I05020,,,
,,,I05021,,,
,,,I05022,,,
,,,I05023,,,
,,,I05024,,,
,,,I05025,,,
,,,I05026,,,
,,,I05027,,,
,,,I05028,,,
,,,I05029,,,
,,,I05030,,,
,,,I05031,,,
,,,I05032,,,
,,,I05033,,,
,,,I05034,,,
,,,I05035,,,
,,,I05036,,,
,,,I05037,,,
,,,I05038,,,
,,,I05039,,,
,,,I05040,,,
,,,I05041,,,
,,,I05042,,,
,,,I05043,,,
,,,I05044,,,
,,,I05045,,,
,,,I05046,,,
,,,I05047,,,
,,,I05048,,,
,,,I05049,,,
,,,I05050,,,
,,,I05051,,,
,,,I05052,,,
,,,I05053,,,
,,,I05054,,,
,,,I05055,,,
,,,I05056,,,
,,,I05057,,,
,,,I05058,,,
,,,I05059,,,
,,,I05060,,,
,,,I05061,,,
,,,I05062,,,
,,,I05063,,,
,,,I05064,,,
,,,I05065,,,
,,,I05066,,,
,,,I05067,,,
,,,I05068,,,
,,,I05069,,,
,,,I05070,,,
,,,I05071,,,
,,,I05072,,,
,,,I05073,,,
,,,I05074,,,
,,,I05075,,,
,,,I05076,,,
,,,I05077,,,
,,,I05078,,,
,,,I05079,,,
,,,I05080,,,
,,,I05081,,,
,,,I05082,,,
,,,I05083,,,
,,,I05084,,,
,,,I05085,,,
,,,I05086,,,
,,,I05087,,,
,,,I05088,,,
,,,I05089,,,
,,,I05090,,,
,,,I05091,,,
,,,I05092,,,
,,,I05093,,,
,,,I05094,,,
,,,I05095,,,
,,,I05096,,,
,,,I05097,,,
,,,I05098,,,
,,,I05099,,,
,,,I05100,,,
,,,I05101,,,
,,,I05102,,,
,,,I05103,,,
,,,I05104,,,
,,,I05105,,,
,,,I05106,,,
,,,I05107,,,
,,,I05108,,,
,,,I05109,,,
,,,I05110,,,
,,,I05111,,,
,,,I05112,,,
,,,I05113,,,
,,,I05114,,,
,,,I05115,,,
,,,I05116,,,
,,,I05117,,,
,,,I05118,,,
,,,I05119,,,
,,,I05120,,,
,,,I05121,,,
,,,I05122,,,
,,,I05123,,,
,,,I05124,,,
,,,I05125,,,
,,,I05126,,,
,,,I05127,,,
,,,I05128,,,
,,,I05129,,,
,,,I05130,,,
,,,I05131,,,
,,,I05132,,,
,,,I05133,,,
,,,I05134,,,
,,,I05135,,,
,,,I05136,,,
,,,I05137,,,
,,,I05138,,,
,,,I05139,,,
,,,I05140,,,
,,,I05141,,,
,,,I05142,,,
,,,I05143,,,
,,,I05144,,,
,,,I05145,,,
,,,I05146,,,
,,,I05147,,,
,,,I05148,,,
,,,I05149,,,
,,,I05150,,,
,,,I05151,,,
,,,I05152,,,
,,,I05153,,,
,,,I05154,,,
,,,I05155,,,
,,,I05156,,,
,,,I05157,,,
,,,I05158,,,
,,,I05159,,,
,,,I05160,,,
,,,I05161,,,
,,,I05162,,,
,,,I05163,,,
,,,I05164,,,
,,,I05165,,,
,,,I05166,,,
,,,I05167,,,
,,,I05168,,,
,,,I05169,,,
,,,I05170,,,
,,,I05171,,,
,,,I05172,,,
,,,I05173,,,
,,,I05174,,,
,,,I05175,,,
,,,I05176,,,
,,,I05177,,,
,,,I05178,,,
,,,I05179,,,
,,,I05180,,,
,,,I05181,,,
,,,I05182,,,
,,,I05183,,,
,,,I05184,,,
,,,I05185,,,
,,,I05186,,,
,,,I05187,,,
,,,I05188,,,
,,,I05189,,,
,,,I05190,,,
,,,I05191,,,
,,,I05192,,,
,,,I05193,,,
,,,I05194,,,
,,,I05195,,,
,,,I05196,,,
,,,I05197,,,
,,,I05198,,,
,,,I05199,,,
,,,I05200,,,
,,,I05201,,,
,,,I05202,,,
,,,I05203,,,
,,,I05204,,,
,,,I05205,,,
,,,I05206,,,
,,,I05207,,,
,,,I05208,,,
,,,I05209,,,
,,,I05210,,,
,,,I05211,,,
,,,I05212,,,
,,,I05213,,,
,,,I05214,,,
,,,I05215,,,
,,,I05216,,,
,,,I05217,,,
,,,I05218,,,
,,,I05219,,,
,,,I05220,,,
,,,I05221,,,
,,,I05222,,,
,,,I05223,,,
,,,I05224,,,
,,,I05225,,,
,,,I05226,,,
,,,I05227,,,
,,,I05228,,,
,,,I05229,,,
,,,I05230,,,
,,,I05231,,,
,,,I05232,,,
,,,I05233,,,
,,,I05234,,,
,,,I05235,,,
,,,I05236,,,
,,,I05237,,,
,,,I05238,,,
,,,I05239,,,
,,,I05240,,,
,,,I05241,,,
,,,I05242,,,
,,,I05243,,,
,,,I05244,,,
,,,I05245,,,
,,,I05246,,,
,,,I05247,,,
,,,I05248,,,
,,,I05249,,,
,,,I05250,,,
,,,I05251,,,
,,,I05252,,,
,,,I05253,,,
,,,I05254,,,
,,,I05255,,,
,,,I05256,,,
,,,I05257,,,
,,,I05258,,,
,,,I05259,,,
,,,I05260,,,
,,,I05261,,,
,,,I05262,,,
,,,I05263,,,
,,,I05264,,,
,,,I05265,,,
,,,I05266,,,
,,,I05267,,,
,,,I05268,,,
,,,I05269,,,
,,,I05270,,,
,,,I05271,,,
,,,I05272,,,
,,,I05273,,,
,,,I05274,,,
,,,I05275,,,
,,,I05276,,,
,,,I05277,,,
,,,I05278,,,
,,,I05279,,,
,,,I05280,,,
,,,I05281,,,
,,,I05282,,,
,,,I05283,,,
,,,I05284,,,
,,,I05285,,,
,,,I05286,,,
,,,I05287,,,
,,,I05288,,,
,,,I05289,,,
,,,I05290,,,
,,,I05291,,,
,,,I05292,,,
,,,I05293,,,
,,,I05294,,,
,,,I05295,,,
,,,I05296,,,
,,,I05297,,,
,,,I05298,,,
,,,I05299,,,
,,,I05300,,,
,,,I05301,,,
,,,I05302,,,
,,,I05303,,,
,,,I05304,,,
,,,I05305,,,
,,,I05306,,,
,,,I05307,,,
,,,I05308,,,
,,,I05309,,,
,,,I05310,,,
,,,I05311,,,
,,,I05312,,,
,,,I05313,,,
,,,I05314,,,
,,,I05315,,,
,,,I05316,,,
,,,I05317,,,
,,,I05318,,,
,,,I05319,,,
,,,I05320,,,
,,,I05321,,,
,,,I05322,,,
,,,I05323,,,
,,,I05324,,,
,,,I05325,,,
,,,I05326,,,
,,,I05327,,,
,,,I05328,,,
,,,I05329,,,
,,,I05330,,,
,,,I05331,,,
,,,I05332,,,
,,,I05333,,,
,,,I05334,,,
,,,I05335,,,
,,,I05336,,,
,,,I05337,,,
,,,I05338,,,
,,,I05339,,,
,,,I05340,,,
,,,I05341,,,
,,,I05342,,,
,,,I05343,,,
,,,I05344,,,
,,,I05345,,,
,,,I05346,,,
,,,I05347,,,
,,,I05348,,,
,,,I05349,,,
,,,I05350,,,
,,,I05351,,,
,,,I05352,,,
,,,I05353,,,
,,,I05354,,,
,,,I05355,,,
,,,I05356,,,
,,,I05357,,,
,,,I05358,,,
,,,I05359,,,
,,,I05360,,,
,,,I05361,,,
,,,I05362,,,
,,,I05363,,,
,,,I05364,,,
,,,I05365,,,
,,,I05366,,,
,,,I05367,,,
,,,I05368,,,
,,,I05369,,,
,,,I05370,,,
,,,I05371,,,
,,,I05372,,,
,,,I05373,,,
,,,I05374,,,
,,,I05375,,,
,,,I05376,,,
,,,I05377,,,
,,,I05378,,,
,,,I05379,,,
,,,I05380,,,
,,,I05381,,,
,,,I05382,,,
,,,I05383,,,
,,,I05384,,,
,,,I05385,,,
,,,I05386,,,
,,,I05387,,,
,,,I05388,,,
,,,I05389,,,
,,,I05390,,,
,,,I05391,,,
,,,I05392,,,
,,,I05393,,,
,,,I05394,,,
,,,I05395,,,
,,,I05396,,,
,,,I05397,,,
,,,I05398,,,
,,,I05399,,,
,,,I05400,,,
,,,I05401,,,
,,,I05402,,,
,,,I05403,,,
,,,I05404,,,
,,,I05405,,,
,,,I05406,,,
,,,I05407,,,
,,,I05408,,,
,,,I05409,,,
,,,I05410,,,
,,,I05411,,,
,,,I05412,,,
,,,I05413,,,
,,,I05414,,,
,,,I05415,,,
,,,I05416,,,
,,,I05417,,,
,,,I05418,,,
,,,I05419,,,
,,,I05420,,,
,,,I05421,,,
,,,I05422,,,
,,,I05423,,,
,,,I05424,,,
,,,I05425,,,
,,,I05426,,,
,,,I05427,,,
,,,I05428,,,
,,,I05429,,,
,,,I05430,,,
,,,I05431,,,
,,,I05432,,,
,,,I05433,,,
,,,I05434,,,
,,,I05435,,,
,,,I05436,,,
,,,I05437,,,
,,,I05438,,,
,,,I05439,,,
,,,I05440,,,
,,,I05441,,,
,,,I05442,,,
,,,I05443,,,
,,,I05444,,,
,,,I05445,,,
,,,I05446,,,
,,,I05447,,,
,,,I05448,,,
,,,I05449,,,
,,,I05450,,,
,,,I05451,,,
,,,I05452,,,
,,,I05453,,,
,,,I05454,,,
,,,I05455,,,
,,,I05456,,,
,,,I05457,,,
,,,I05458,,,
,,,I05459,,,
,,,I05460,,,
,,,I05461,,,
,,,I05462,,,
,,,I05463,,,
,,,I05464,,,
,,,I05465,,,
,,,I05466,,,
,,,I05467,,,
,,,I05468,,,
,,,I05469,,,
,,,I05470,,,
,,,I05471,,,
,,,I05472,,,
,,,I05473,,,
,,,I05474,,,
,,,I05475,,,
,,,I05476,,,
,,,I05477,,,
,,,I05478,,,
,,,I05479,,,
,,,I05480,,,
,,,I05481,,,
,,,I05482,,,
,,,I05483,,,
,,,I05484,,,
,,,I05485,,,
,,,I05486,,,
,,,I05487,,,
,,,I05488,,,
,,,I05489,,,
,,,I05490,,,
,,,I05491,,,
,,,I05492,,,
,,,I05493,,,
,,,I05494,,,
,,,I05495,,,
,,,I05496,,,
,,,I05497,,,
,,,I05498,,,
,,,I05499,,,
,,,I05500,,,
,,,I05501,,,
,,,I05502,,,
,,,I05503,,,
,,,I05504,,,
,,,I05505,,,
,,,I05506,,,
,,,I05507,,,
,,,I05508,,,
,,,I05509,,,
,,,I05510,,,
,,,I05511,,,
,,,I05512,,,
,,,I05513,,,
,,,I05514,,,
,,,I05515,,,
,,,I05516,,,
,,,I05517,,,
,,,I05518,,,
,,,I05519,,,
,,,I05520,,,
,,,I05521,,,
,,,I05522,,,
,,,I05523,,,
,,,I05524,,,
,,,I05525,,,
,,,I05526,,,
,,,I05527,,,
,,,I05528,,,
,,,I05529,,,
,,,I05530,,,
,,,I05531,,,
,,,I05532,,,
,,,I05533,,,
,,,I05534,,,
,,,I05535,,,
,,,I05536,,,
,,,I05537,,,
,,,I05538,,,
,,,I05539,,,
,,,I05540,,,
,,,I05541,,,
,,,I05542,,,
,,,I05543,,,
,,,I05544,,,
,,,I05545,,,
,,,I05546,,,
,,,I05547,,,
,,,I05548,,,
,,,I05549,,,
,,,I05550,,,
,,,I05551,,,
,,,I05552,,,
,,,I05553,,,
,,,I05554,,,
,,,I05555,,,
,,,I05556,,,
,,,I05557,,,
,,,I05558,,,
,,,I05559,,,
,,,I05560,,,
,,,I05561,,,
,,,I05562,,,
,,,I05563,,,
,,,I05564,,,
,,,I05565,,,
,,,I05566,,,
,,,I05567,,,
,,,I05568,,,
,,,I05569,,,
,,,I05570,,,
,,,I05571,,,
,,,I05572,,,
,,,I05573,,,
,,,I05574,,,
,,,I05575,,,
,,,I05576,,,
,,,I05577,,,
,,,I05578,,,
,,,I05579,,,
,,,I05580,,,
,,,I05581,,,
,,,I05582,,,
,,,I05583,,,
,,,I05584,,,
,,,I05585,,,
,,,I05586,,,
,,,I05587,,,
,,,I05588,,,
,,,I05589,,,
,,,I05590,,,
,,,I05591,,,
,,,I05592,,,
,,,I05593,,,
,,,I05594,,,
,,,I05595,,,
,,,I05596,,,
,,,I05597,,,
,,,I05598,,,
,,,I05599,,,
,,,I05600,,,
,,,I05601,,,
,,,I05602,,,
,,,I05603,,,
,,,I05604,,,
,,,I05605,,,
,,,I05606,,,
,,,I05607,,,
,,,I05608,,,
,,,I05609,,,
,,,I05610,,,
,,,I05611,,,
,,,I05612,,,
,,,I05613,,,
,,,I05614,,,
,,,I05615,,,
,,,I05616,,,
,,,I05617,,,
,,,I05618,,,
,,,I05619,,,
,,,I05620,,,
,,,I05621,,,
,,,I05622,,,
,,,I05623,,,
,,,I05624,,,
,,,I05625,,,
,,,I05626,,,
,,,I05627,,,
,,,I05628,,,
,,,I05629,,,
,,,I05630,,,
,,,I05631,,,
,,,I05632,,,
,,,I05633,,,
,,,I05634,,,
,,,I05635,,,
,,,I05636,,,
,,,I05637,,,
,,,I05638,,,
,,,I05639,,,
,,,I05640,,,
,,,I05641,,,
,,,I05642,,,
,,,I05643,,,
,,,I05644,,,
,,,I05645,,,
,,,I05646,,,
,,,I05647,,,
,,,I05648,,,
,,,I05649,,,
,,,I05650,,,
,,,I05651,,,
,,,I05652,,,
,,,I05653,,,
,,,I05654,,,
,,,I05655,,,
,,,I05656,,,
,,,I05657,,,
,,,I05658,,,
,,,I05659,,,
,,,I05660,,,
,,,I05661,,,
,,,I05662,,,
,,,I05663,,,
,,,I05664,,,
,,,I05665,,,
,,,I05666,,,
,,,I05667,,,
,,,I05668,,,
,,,I05669,,,
,,,I05670,,,
,,,I05671,,,
,,,I05672,,,
,,,I05673,,,
,,,I05674,,,
,,,I05675,,,
,,,I05676,,,
,,,I05677,,,
,,,I05678,,,
,,,I05679,,,
,,,I05680,,,
,,,I05681,,,
,,,I05682,,,
,,,I05683,,,
,,,I05684,,,
,,,I05685,,,
,,,I05686,,,
,,,I05687,,,
,,,I05688,,,
,,,I05689,,,
,,,I05690,,,
,,,I05691,,,
,,,I05692,,,
,,,I05693,,,
,,,I05694,,,
,,,I05695,,,
,,,I05696,,,
,,,I05697,,,
,,,I05698,,,
,,,I05699,,,
,,,I05700,,,
,,,I05701,,,
,,,I05702,,,
,,,I05703,,,
,,,I05704,,,
,,,I05705,,,
,,,I05706,,,
,,,I05707,,,
,,,I05708,,,
,,,I05709,,,
,,,I05710,,,
,,,I05711,,,
,,,I05712,,,
,,,I05713,,,
,,,I05714,,,
,,,I05715,,,
,,,I05716,,,
,,,I05717,,,
,,,I05718,,,
,,,I05719,,,
,,,I05720,,,
,,,I05721,,,
,,,I05722,,,
,,,I05723,,,
,,,I05724,,,
,,,I05725,,,
,,,I05726,,,
,,,I05727,,,
,,,I05728,,,
,,,I05729,,,
,,,I05730,,,
,,,I05731,,,
,,,I05732,,,
,,,I05733,,,
,,,I05734,,,
,,,I05735,,,
,,,I05736,,,
,,,I05737,,,
,,,I05738,,,
,,,I05739,,,
,,,I05740,,,
,,,I05741,,,
,,,I05742,,,
,,,I05743,,,
,,,I05744,,,
,,,I05745,,,
,,,I05746,,,
,,,I05747,,,
,,,I05748,,,
,,,I05749,,,
,,,I05750,,,
,,,I05751,,,
,,,I05752,,,
,,,I05753,,,
,,,I05754,,,
,,,I05755,,,
,,,I05756,,,
,,,I05757,,,
,,,I05758,,,
,,,I05759,,,
,,,I05760,,,
,,,I05761,,,
,,,I05762,,,
,,,I05763,,,
,,,I05764,,,
,,,I05765,,,
,,,I05766,,,
,,,I05767,,,
,,,I05768,,,
,,,I05769,,,
,,,I05770,,,
,,,I05771,,,
,,,I05772,,,
,,,I05773,,,
,,,I05774,,,
,,,I05775,,,
,,,I05776,,,
,,,I05777,,,
,,,I05778,,,
,,,I05779,,,
,,,I05780,,,
,,,I05781,,,
,,,I05782,,,
,,,I05783,,,
,,,I05784,,,
,,,I05785,,,
,,,I05786,,,
,,,I05787,,,
,,,I05788,,,
,,,I05789,,,
,,,I05790,,,
,,,I05791,,,
,,,I05792,,,
,,,I05793,,,
,,,I05794,,,
,,,I05795,,,
,,,I05796,,,
,,,I05797,,,
,,,I05798,,,
,,,I05799,,,
,,,I05800,,,
,,,I05801,,,
,,,I05802,,,
,,,I05803,,,
,,,I05804,,,
,,,I05805,,,
,,,I05806,,,
,,,I05807,,,
,,,I05808,,,
,,,I05809,,,
,,,I05810,,,
,,,I05811,,,
,,,I05812,,,
,,,I05813,,,
,,,I05814,,,
,,,I05815,,,
,,,I05816,,,
,,,I05817,,,
,,,I05818,,,
,,,I05819,,,
,,,I05820,,,
,,,I05821,,,
,,,I05822,,,
