REG,STATE,LTYPE,GID,MLRA,FRR,WBD
E_Euro,AL,Irrigated,I00001,NFFSC,HEARTLND,NEW_ENG
N_Afr,AZ,Rainfed,I00002,CSFTSC,N_CRESC,MID_ATL
SSA,AR,,I00003,NWRR,N_GRTPLN,S_ATL_GLF
S_Amer,CA,,I00004,WRI,PRAIRIE_G,GRT_LAKES
AUS_NZ,CO,,I00005,RMRF,E_UPLAND,OH_REG
EU,CT,,I00006,WGPRI,S_SEABRD,TN_REG
S_Asia,DE,,I00007,NGPSW,FRUIT_RIM,UP_MS_REG
CC_Amer,FL,,I00008,CGPWWR,BASIN_RNG,LO_MS_REG
S_Afr,GA,,I00009,SPPRC,MS_PORT,SOURIS
SE_Asia,ID,,I00010,SPCF,,MO_REG
CAN,IL,,I00011,CFGL,,WHITE_RED
US,IN,,I00012,AGCLFC,,TXS_GULF
CHN_MNG,IA,,I00013,ECFF,,RIO_GRND
M_East,KS,,I00014,SAGSCCFL,,UP_CO_REG
JPN_KR,KY,,I00015,NLSFF,,LO_CO_REG
C_Asia,LA,,I00016,MDCFG,,GRT_BASIN
,ME,,I00017,LSFTCD,,PAC_NW
,MD,,I00018,NFF,,CA_REG
,,,I00271,,,
,,,I00272,,,
,,,I00273,,,
,,,I00274,,,
,,,I00275,,,
,,,I00276,,,
,,,I00277,,,
,,,I00278,,,
,,,I00279,,,
,,,I00280,,,
,,,I00281,,,
,,,I00282,,,
,,,I00283,,,
,,,I00284,,,
,,,I00285,,,
,,,I00286,,,
,,,I00287,,,
,,,I00288,,,
,,,I00289,,,
,,,I00290,,,
,,,I00291,,,
,,,I00292,,,
,,,I00293,,,
,,,I00294,,,
,,,I00295,,,
,,,I00296,,,
,,,I00297,,,
,,,I00298,,,
,,,I00299,,,
,,,I00300,,,
,,,I00301,,,
,,,I00302,,,
,,,I00303,,,
,,,I00304,,,
,,,I00305,,,
,,,I00306,,,
,,,I00307,,,
,,,I00308,,,
,,,I00309,,,
,,,I00310,,,
,,,I00311,,,
,,,I00312,,,
,,,I00313,,,
,,,I00314,,,
,,,I00315,,,
,,,I00316,,,
,,,I00317,,,
,,,I00318,,,
,,,I00319,,,
,,,I00320,,,
,,,I00321,,,
,,,I00322,,,
,,,I00323,,,
,,,I00324,,,
,,,I00325,,,
,,,I00326,,,
,,,I00327,,,
,,,I00328,,,
,,,I00329,,,
,,,I00330,,,
,,,I00331,,,
,,,I00332,,,
,,,I00333,,,
,,,I00334,,,
,,,I00335,,,
,,,I00336,,,
,,,I00337,,,
,,,I00338,,,
,,,I00339,,,
,,,I00340,,,
,,,I00341,,,
,,,I00342,,,
,,,I00343,,,
,,,I00344,,,
,,,I00345,,,
,,,I00346,,,
,,,I00347,,,
,,,I00348,,,
,,,I00349,,,
,,,I00350,,,
,,,I00351,,,
,,,I00352,,,
,,,I00353,,,
,,,I00354,,,
,,,I00355,,,
,,,I00356,,,
,,,I00357,,,
,,,I00358,,,
,,,I00359,,,
,,,I00360,,,
,,,I00361,,,
,,,I00362,,,
,,,I00363,,,
,,,I00364,,,
,,,I00365,,,
,,,I00366,,,
,,,I00367,,,
,,,I00368,,,
,,,I00369,,,
,,,I00370,,,
,,,I00371,,,
,,,I00372,,,
,,,I00373,,,
,,,I00374,,,
,,,I00375,,,
,,,I00376,,,
,,,I00377,,,
,,,I00378,,,
,,,I00379,,,
,,,I00380,,,
,,,I00381,,,
,,,I00382,,,
,,,I00383,,,
,,,I00384,,,
,,,I00385,,,
,,,I00386,,,
,,,I00387,,,
,,,I00388,,,
,,,I00389,,,
,,,I00390,,,
,,,I00391,,,
,,,I00392,,,
,,,I00393,,,
,,,I00394,,,
,,,I00395,,,
,,,I00396,,,
,,,I00397,,,
,,,I00398,,,
,,,I00399,,,
,,,I00400,,,
,,,I00401,,,
,,,I00402,,,
,,,I00403,,,
,,,I00404,,,
,,,I00405,,,
,,,I00406,,,
,,,I00407,,,
,,,I00408,,,
,,,I00409,,,
,,,I00410,,,
,,,I00411,,,
,,,I00412,,,
,,,I00413,,,
,,,I00414,,,
,,,I00415,,,
,,,I00416,,,
,,,I00417,,,
,,,I00418,,,
,,,I00419,,,
,,,I00420,,,
,,,I00421,,,
,,,I00422,,,
,,,I00423,,,
,,,I00424,,,
,,,I00425,,,
,,,I00426,,,
,,,I00427,,,
,,,I00428,,,
,,,I00429,,,
,,,I00430,,,
,,,I00431,,,
,,,I00432,,,
,,,I00433,,,
,,,I00434,,,
,,,I00435,,,
,,,I00436,,,
,,,I00437,,,
,,,I00438,,,
,,,I00439,,,
,,,I00440,,,
,,,I00441,,,
,,,I00442,,,
,,,I00443,,,
,,,I00444,,,
,,,I00445,,,
,,,I00446,,,
,,,I00447,,,
,,,I00448,,,
,,,I00449,,,
,,,I00450,,,
,,,I00451,,,
,,,I00452,,,
,,,I00453,,,
,,,I00454,,,
,,,I00455,,,
,,,I00456,,,
,,,I00457,,,
,,,I00458,,,
,,,I00459,,,
,,,I00460,,,
,,,I00461,,,
,,,I00462,,,
,,,I00463,,,
,,,I00464,,,
,,,I00465,,,
,,,I00466,,,
,,,I00467,,,
,,,I00468,,,
,,,I00469,,,
,,,I00470,,,
,,,I00471,,,
,,,I00472,,,
,,,I00473,,,
,,,I00474,,,
,,,I00475,,,
,,,I00476,,,
,,,I00477,,,
,,,I00478,,,
,,,I00479,,,
,,,I00480,,,
,,,I00481,,,
,,,I00482,,,
,,,I00483,,,
,,,I00484,,,
,,,I00485,,,
,,,I00486,,,
,,,I00487,,,
,,,I00488,,,
,,,I00489,,,
,,,I00490,,,
,,,I00491,,,
,,,I00492,,,
,,,I00493,,,
,,,I00494,,,
,,,I00495,,,
