"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCROPr","E_Euro","-18.373833","K MT","PCT CHANGE"
"p_QCROPr","N_Afr","-4.4307966","K MT","PCT CHANGE"
"p_QCROPr","SSA","-19.764362","K MT","PCT CHANGE"
"p_QCROPr","S_Amer","-16.921438","K MT","PCT CHANGE"
"p_QCROPr","AUS_NZ","-14.480377","K MT","PCT CHANGE"
"p_QCROPr","EU","-15.668355","K MT","PCT CHANGE"
"p_QCROPr","S_Asia","-6.3243995","K MT","PCT CHANGE"
"p_QCROPr","CC_Amer","-9.812748","K MT","PCT CHANGE"
"p_QCROPr","S_Afr","-8.4198732","K MT","PCT CHANGE"
"p_QCROPr","SE_Asia","-12.888931","K MT","PCT CHANGE"
"p_QCROPr","CAN","-19.642639","K MT","PCT CHANGE"
"p_QCROPr","US","-12.211277","K MT","PCT CHANGE"
"p_QCROPr","CHN_MNG","-6.6227322","K MT","PCT CHANGE"
"p_QCROPr","M_East","-8.1207781","K MT","PCT CHANGE"
"p_QCROPr","JPN_KR","-6.2546821","K MT","PCT CHANGE"
"p_QCROPr","C_Asia","-6.2742491","K MT","PCT CHANGE"
