"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCRPTRADEr","E_Euro","-15710.376","K MT","NEW VALUE"
"p_QCRPTRADEr","N_Afr","-34934.527","K MT","NEW VALUE"
"p_QCRPTRADEr","SSA","106164.52","K MT","NEW VALUE"
"p_QCRPTRADEr","S_Amer","223832.78","K MT","NEW VALUE"
"p_QCRPTRADEr","AUS_NZ","18493.984","K MT","NEW VALUE"
"p_QCRPTRADEr","EU","-316912.22","K MT","NEW VALUE"
"p_QCRPTRADEr","S_Asia","30140.383","K MT","NEW VALUE"
"p_QCRPTRADEr","CC_Amer","-500.57935","K MT","NEW VALUE"
"p_QCRPTRADEr","S_Afr","13641.867","K MT","NEW VALUE"
"p_QCRPTRADEr","SE_Asia","126311.1","K MT","NEW VALUE"
"p_QCRPTRADEr","CAN","19769.992","K MT","NEW VALUE"
"p_QCRPTRADEr","US","77166.5","K MT","NEW VALUE"
"p_QCRPTRADEr","CHN_MNG","-23425.75","K MT","NEW VALUE"
"p_QCRPTRADEr","M_East","-21696.922","K MT","NEW VALUE"
"p_QCRPTRADEr","JPN_KR","-198152.55","K MT","NEW VALUE"
"p_QCRPTRADEr","C_Asia","-4188.2354","K MT","NEW VALUE"
